??/?????/???,???????,CO,O3, NO2, SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170105,800,1.1,0,12,4,75,62,28,219,1,
170105,900,0.9,0,13,5,58,59,29,213,0.9,
170105,1000,0.7,0,9,5,64,56,29.5,222,0.7,
170105,1100,,,,,29,51,31,211,0.5,
170105,1200,0.6,1,6,3,93,50,31,232,0.4,
170105,1300,0.7,0,11,3,77,49,31.2,257,0.6,
170105,1400,0.6,4,8,3,55,52,31,187,0.4,
170105,1500,0.6,5,4,3,75,55,31,177,0.4,
170105,1600,0.8,20,9,3,76,58,29.8,186,0.8,
170105,1700,0.6,42,1,4,80,59,29.4,181,0.9,
170105,1800,0.7,41,1,2,79,67,28.5,180,0.8,
170105,1900,0.6,24,1,2,67,74,27.4,185,0.9,
170105,2000,0.6,6,0,2,66,75,27,186,0.8,
170105,2100,0.5,3,0,2,59,75,26.8,184,0.7,
170105,2200,0.4,1,0,2,33,74,26.6,177,0.7,
170105,2300,0.4,0,0,3,41,74,26.5,182,0.5,
170105,2400,0.4,0,0,3,50,75,26,189,0.6,
170106,100,0.4,0,0,4,35,76,25.8,177,0.6,
170106,200,0.3,0,0,4,39,78,25.3,184,0.9,
170106,300,0.3,0,0,4,35,85,25,189,1.1,
170106,400,0.3,0,0,3,44,94,24.7,197,0.9,
170106,500,0.4,0,0,3,38,97,25,212,1.2,
170106,600,0.5,0,0,3,31,96,25,218,0.8,
170106,700,0.5,0,0,3,30,94,24.9,173,0.3,
170106,800,0.6,0,0,2,43,98,24,173,0.4,
170106,900,0.5,0,0,3,28,96,25,177,0.6,
170106,1000,,,,,31,89,25.8,183,0.5,
170106,1100,0.6,0,,,43,76,27,183,0.6,
170106,1200,0.6,4,1,2,54,66,28,174,0.5,
170106,1300,0.5,17,1,3,60,62,29,178,0.7,
170106,1400,0.5,25,0,3,48,60,29.4,185,1,
170106,1500,0.5,27,1,3,53,61,29,173,0.7,
170106,1600,0.7,14,6,3,44,62,28.9,180,0.6,
170106,1700,0.8,11,6,4,68,64,28.5,180,0.4,
170106,1800,0.7,5,1,3,77,69,27.8,175,0.2,
170106,1900,0.7,0,0,2,63,73,27.2,176,0.2,
170106,2000,0.6,0,0,2,55,74,27,189,0.4,
170106,2100,0.5,13,0,2,52,75,27,180,0.2,
170106,2200,0.5,28,0,2,49,76,26.4,162,0.1,
170106,2300,0.5,29,0,2,51,77,26.2,170,0.4,
170106,2400,0.4,16,0,3,50,79,26,169,0.4,
170107,100,0.4,0,0,4,41,76,26.4,185,0.2,
170107,200,0.4,1,0,3,24,71,26.5,184,0.2,
170107,300,0.3,2,0,2,26,70,26,170,0.2,
170107,400,0.3,2,0,3,30,71,26.1,180,0.2,
170107,500,0.3,0,0,3,30,73,25.9,191,0.4,
170107,600,0.4,0,1,4,33,77,25,182,0.3,
170107,700,0.4,0,0,4,33,78,25.4,186,0.2,
170107,800,0.5,0,0,5,36,78,25.5,185,0.2,
170107,900,,,,,39,74,26,172,0.2,
170107,1000,0.5,0,0,8,38,69,27.5,172,0.2,
170107,1100,0.6,1,4,6,38,63,28.9,213,0.3,
170107,1200,0.7,8,4,5,74,62,29,207,0.3,
170107,1300,0.7,20,8,4,54,57,30.4,287,0.4,
170107,1400,0.6,16,8,4,44,53,31.2,256,0.9,
170107,1500,0.6,14,3,3,43,53,31.2,255,0.8,
170107,1600,0.6,25,5,3,60,57,31,260,0.2,
170107,1700,0.6,36,2,3,80,62,30.4,148,0.1,
170107,1800,0.6,33,1,3,82,65,29.4,160,0.1,
170107,1900,0.8,12,7,3,75,68,28.8,148,0.1,
170107,2000,0.9,0,17,3,94,69,28.9,143,0.1,
170107,2100,1.1,0,26,2,106,70,29,138,0.1,
170107,2200,1.1,0,30,3,109,73,28.3,141,0.1,
170107,2300,0.7,0,14,3,80,72,28.3,167,0.1,
